iter	Passed	Remaining
405	5807	11357
406	5821	11342
407	5834	11326
408	5847	11308
409	5859	11291
410	5873	11275
411	5887	11260
412	5899	11241
413	5914	11228
414	5927	11212
415	5940	11194
416	5952	11177
417	5965	11161
418	5978	11143
419	5992	11128
420	6005	11112
421	6018	11096
422	6033	11082
423	6046	11066
424	6059	11050
425	6073	11035
426	6088	11021
427	6102	11008
428	6116	10992
429	6129	10976
430	6143	10962
431	6158	10947
432	6171	10931
433	6183	10914
434	6197	10899
435	6210	10883
436	6222	10864
437	6235	10847
438	6247	10830
439	6261	10815
440	6275	10801
441	6288	10784
442	6302	10769
443	6316	10755
444	6329	10739
445	6345	10727
446	6358	10711
447	6373	10697
448	6386	10682
449	6399	10666
450	6412	10649
451	6426	10635
452	6441	10621
453	6454	10605
454	6468	10591
455	6482	10576
456	6497	10563
457	6510	10548
458	6523	10531
459	6537	10517
460	6551	10502
461	6565	10486
462	6578	10472
463	6592	10456
464	6605	10441
465	6618	10424
466	6632	10409
467	6645	10393
468	6658	10377
469	6672	10363
470	6686	10349
471	6700	10335
472	6715	10321
473	6727	10303
474	6741	10289
475	6754	10273
476	6767	10257
477	6780	10240
478	6792	10224
479	6806	10210
480	6820	10195
481	6834	10181
482	6848	10166
483	6873	10168
484	6886	10151
485	6899	10135
486	6912	10120
487	6925	10105
488	6939	10090
489	6953	10075
490	6966	10059
491	6979	10043
492	6993	10029
493	7007	10015
494	7021	10000
495	7035	9985
496	7049	9971
497	7063	9956
498	7075	9939
499	7089	9925
500	7102	9909
501	7114	9892
502	7129	9878
503	7142	9863
504	7155	9848
505	7170	9834
506	7183	9818
507	7197	9804
508	7210	9788
509	7222	9772
510	7236	9757
511	7250	9742
512	7263	9727
513	7277	9712
514	7290	9696
515	7312	9693
516	7327	9679
517	7340	9664
518	7353	9648
519	7367	9633
520	7380	9618
521	7393	9602
522	7407	9588
523	7419	9571
524	7432	9555
525	7445	9540
526	7458	9524
527	7473	9511
528	7486	9496
529	7500	9482
530	7513	9466
531	7527	9451
532	7539	9435
533	7552	9419
534	7565	9404
535	7579	9389
536	7594	9376
537	7609	9363
538	7623	9349
539	7638	9335
540	7651	9320
541	7665	9305
542	7678	9290
543	7695	9279
544	7708	9264
545	7722	9250
546	7736	9236
547	7750	9221
548	7763	9205
549	7776	9190
550	7789	9175
551	7804	9161
552	7817	9146
553	7831	9131
554	7844	9117
555	7858	9102
556	7872	9087
557	7886	9073
558	7900	9059
559	7913	9044
560	7927	9029
561	7941	9014
562	7955	9001
563	7968	8986
564	7982	8971
565	7995	8956
566	8008	8940
567	8022	8926
568	8034	8910
569	8047	8895
570	8060	8879
571	8075	8865
572	8087	8849
573	8103	8837
574	8116	8822
575	8129	8806
576	8143	8792
577	8156	8777
578	8169	8762
579	8183	8748
580	8196	8733
581	8213	8721
582	8227	8706
583	8240	8691
584	8254	8677
585	8267	8662
586	8281	8648
587	8296	8634
588	8309	8619
589	8323	8605
590	8338	8592
591	8351	8577
592	8366	8563
593	8380	8549
594	8395	8536
595	8409	8522
596	8421	8506
597	8433	8489
598	8446	8474
599	8458	8458
600	8471	8443
601	8484	8428
602	8498	8413
603	8511	8398
604	8524	8383
605	8537	8368
606	8549	8352
607	8562	8336
608	8574	8321
609	8588	8306
610	8601	8291
611	8614	8276
612	8628	8262
613	8642	8248
614	8656	8234
615	8671	8221
616	8687	8208
617	8701	8194
618	8714	8179
619	8727	8164
620	8740	8148
621	8752	8133
622	8765	8117
623	8778	8103
624	8792	8088
625	8805	8073
626	8819	8059
627	8833	8045
628	8846	8031
629	8859	8015
630	8872	8000
631	8885	7986
632	8898	7970
633	8912	7956
634	8925	7941
635	8938	7926
636	8950	7910
637	8962	7894
638	8975	7879
639	8988	7864
640	9001	7850
