iter	Logloss
0	0.6874111776
1	0.6823872708
2	0.6774533554
3	0.673076298
4	0.6692727044
5	0.665177416
6	0.6614382085
7	0.6581857489
8	0.6549113009
9	0.6518348093
10	0.6489877241
11	0.6462978549
12	0.6438001319
13	0.641549035
14	0.6392808195
15	0.6372452109
16	0.6352830868
17	0.6333688667
18	0.6315295225
19	0.6297979241
20	0.6282534456
21	0.6269381515
22	0.6256863459
23	0.6244604237
24	0.6233294953
25	0.6222195028
26	0.6210735876
27	0.620056173
28	0.6191101961
29	0.6183099188
30	0.6173395798
31	0.6165247623
32	0.6157537128
33	0.6150459957
34	0.6143445237
35	0.6135817258
36	0.6129575732
37	0.6123375063
38	0.6117190321
39	0.611170933
40	0.610592168
41	0.610048146
42	0.609509637
43	0.6091253736
44	0.6086518806
45	0.6081835512
46	0.6076954875
47	0.6072645388
48	0.6068955426
49	0.6065309852
50	0.6062125248
51	0.6058073459
52	0.6054087617
53	0.6050718897
54	0.6047286359
55	0.6044158896
56	0.6040719746
57	0.6038101324
58	0.6034915483
59	0.6032043552
60	0.6029181788
61	0.6026374158
62	0.6023711658
63	0.6021082356
64	0.6018451758
65	0.601564732
66	0.6013235989
67	0.6011116114
68	0.6008845629
69	0.6006732235
70	0.6004785501
71	0.6003205359
72	0.6001203803
73	0.5999313115
74	0.5997888169
75	0.5995515646
76	0.5993938944
77	0.5992195326
78	0.5990944653
79	0.598882897
80	0.5986567991
81	0.5984924179
82	0.5983311013
83	0.5981219384
84	0.5979385603
85	0.5977711549
86	0.5976116372
87	0.5975078088
88	0.5973379802
89	0.5972109115
90	0.5970565672
91	0.5969185962
92	0.5967547157
93	0.5965830778
94	0.5964603111
95	0.5963138423
96	0.5961583629
97	0.5959971094
98	0.5958425413
99	0.5957280881
100	0.5956299188
101	0.5954724238
102	0.5953232312
103	0.5952416286
104	0.5951401724
105	0.5950322193
106	0.5948999494
107	0.5947784889
108	0.5947213255
109	0.5945954549
110	0.5944691428
111	0.5943977972
112	0.5942616356
113	0.5941094247
114	0.5939896919
115	0.5938955379
116	0.5937993977
117	0.5937263184
118	0.5936509854
119	0.5935309841
120	0.5934535266
121	0.5933622126
122	0.5932389431
123	0.5931508053
124	0.5930153944
125	0.5929131866
126	0.5928350332
127	0.5927370293
128	0.5926575011
129	0.5925229877
130	0.5924199117
131	0.5923353205
132	0.5922480362
133	0.5921586399
134	0.5920521762
135	0.5919826821
136	0.5918864247
137	0.5918194354
138	0.5917282809
139	0.5916530233
140	0.5915577171
141	0.5914803864
142	0.5913896945
143	0.5913105678
144	0.5912372902
145	0.5911766553
146	0.5910854107
147	0.590977987
148	0.5908995963
149	0.5908071606
150	0.5906976298
151	0.5906249283
152	0.5905406574
153	0.5904433909
154	0.5903422286
155	0.590269248
156	0.5902007436
157	0.590133937
158	0.5900733191
159	0.590001465
160	0.5899271137
161	0.5898665077
162	0.5897652055
163	0.5896802491
164	0.5896259615
165	0.5895447882
166	0.5894395528
167	0.5893900559
168	0.5893061166
169	0.5892062582
170	0.5891445568
171	0.5890529966
172	0.5889812367
173	0.5889195009
174	0.5888569199
175	0.588753757
176	0.5887025985
177	0.5886326663
178	0.5885739809
179	0.5885155065
180	0.588443323
181	0.5883649919
182	0.5883126794
183	0.5882582252
184	0.588211542
185	0.5881573109
186	0.5880859091
187	0.5880194035
188	0.587957668
189	0.587895945
190	0.5878314139
191	0.5877611303
192	0.5877014585
193	0.5876421072
194	0.5875800787
195	0.5875272777
196	0.5874407692
197	0.5873612328
198	0.5872961374
199	0.5872191172
200	0.5871678117
201	0.5870652128
202	0.5869830745
203	0.5869353834
204	0.586892205
205	0.586840705
206	0.5868027403
207	0.5867461659
208	0.5866944182
209	0.5865782975
210	0.5865407934
211	0.5865053261
212	0.5864508609
213	0.5863780145
214	0.5863254477
215	0.586283419
216	0.5862186111
217	0.5861587145
218	0.5860946926
219	0.5860626294
220	0.5860043331
221	0.5859526363
222	0.585887254
223	0.5858284171
224	0.5857632067
225	0.5856976763
226	0.5856372962
227	0.5855679208
228	0.5855067144
229	0.5854355687
230	0.5853769825
231	0.5853037225
232	0.5852530743
233	0.5851965987
234	0.5851258516
235	0.5850750402
236	0.5850117075
237	0.5849463562
238	0.5849037047
239	0.5848457161
240	0.5848026039
241	0.5847377607
242	0.5847178272
243	0.5846780638
244	0.5846120579
245	0.5845619667
246	0.5845007214
247	0.5844521053
248	0.5843999208
249	0.5843612903
250	0.5843251947
251	0.5842308245
252	0.5841720123
253	0.5841164567
254	0.5840588147
255	0.583998079
256	0.5839493524
257	0.5839178519
258	0.5838787357
259	0.5838326851
260	0.5837634113
261	0.5837066068
262	0.5836437178
263	0.5835844576
264	0.5835415209
265	0.5834908861
266	0.5834506924
267	0.5833976534
268	0.5833619085
269	0.5833089197
270	0.5832404698
271	0.5831687071
272	0.5831133185
273	0.5830534397
274	0.5829933322
275	0.5829628065
276	0.5828941278
277	0.5828281678
278	0.5827718497
279	0.582689671
280	0.582634331
281	0.5825752701
282	0.5825223412
283	0.5824666459
284	0.5824100799
285	0.5823803692
286	0.5823462259
287	0.5822991168
288	0.5822544882
289	0.5821997288
290	0.5821694202
291	0.5821234826
292	0.5820705168
293	0.5820051101
294	0.5819663991
295	0.5819135127
296	0.5818312242
297	0.5817897838
298	0.5817430457
299	0.5816834534
300	0.5816163511
301	0.5815614
302	0.5815254942
303	0.581489136
304	0.5814231118
305	0.5813748954
306	0.5813291413
307	0.5812853554
308	0.5811975697
309	0.5811488369
310	0.5810815268
311	0.5810087906
312	0.5809151878
313	0.580866059
314	0.5808083713
315	0.5807662023
316	0.5807325279
317	0.5806782057
318	0.5806334594
319	0.5805814798
320	0.5805151246
321	0.58048536
322	0.5804212855
323	0.5803717085
324	0.580312048
325	0.5802612145
326	0.5802192736
327	0.5801523473
328	0.5800972965
329	0.5800491665
330	0.5799798609
331	0.5799121618
332	0.5798535131
333	0.5797842367
334	0.5797267458
335	0.5796392003
336	0.5796050893
337	0.5795485329
338	0.5794948525
339	0.5794179653
340	0.5793593779
341	0.5792846973
342	0.5792197905
343	0.5791628669
344	0.5791102155
345	0.5790619646
346	0.5790064309
347	0.5789297792
348	0.5788816835
349	0.5788392783
350	0.5788051397
351	0.5787298555
352	0.5786580746
353	0.5785802665
354	0.5785175882
355	0.578455439
356	0.5783900647
357	0.5783611551
358	0.5783377493
359	0.5783029229
360	0.5782297416
361	0.5781986209
362	0.5781219594
363	0.5780505847
364	0.5780009388
365	0.5779225651
366	0.5778596973
367	0.5777823985
368	0.5777250443
369	0.5776586232
370	0.5776029448
371	0.5775489408
372	0.577495638
373	0.5774351699
374	0.577367872
375	0.5773043753
376	0.5772349023
377	0.5771785721
378	0.5771145792
379	0.5770558075
380	0.5769847619
381	0.5769189897
382	0.5768514121
383	0.5767848365
384	0.576715047
385	0.5766788463
386	0.5766418266
387	0.5766115673
388	0.5765571243
389	0.5764983419
390	0.5764158821
391	0.5763507371
392	0.5762856376
393	0.5762268734
394	0.5761567413
395	0.576092744
396	0.5760241448
397	0.5759508125
398	0.5758918773
399	0.5758188406
400	0.5757582305
401	0.5757137351
402	0.5756769013
403	0.5756060486
404	0.575537996
405	0.575464334
406	0.5754103577
407	0.5753734564
408	0.5753061874
409	0.5752436598
410	0.5751850543
411	0.575124969
412	0.5750871782
413	0.5750188978
414	0.5749510552
415	0.5749126584
416	0.5748592014
417	0.574802468
418	0.5747534877
419	0.5747019139
420	0.5746490486
421	0.5745958731
422	0.574534418
423	0.574463018
424	0.574414799
425	0.5743524567
426	0.5743038878
427	0.5742495943
428	0.5741850729
429	0.5741132929
430	0.5740400587
431	0.573968941
432	0.5739294502
433	0.5738660175
434	0.5738121666
435	0.5737592452
436	0.5737350288
437	0.5736648953
438	0.5736184874
439	0.5735558495
440	0.5734903539
441	0.5734263729
442	0.5733654339
443	0.5732967227
444	0.57326146
445	0.573196213
446	0.5731521591
447	0.5730969827
448	0.5730359418
449	0.5729757422
450	0.5729138273
451	0.5728535834
452	0.572791489
453	0.5727527328
454	0.5726976298
455	0.5726463162
456	0.5725965693
457	0.5725440306
458	0.5724975375
459	0.5724303139
460	0.572379423
461	0.5723248372
462	0.5722732756
463	0.5722134199
464	0.572146631
465	0.5720906978
466	0.5720256259
467	0.5719624912
468	0.5719092139
469	0.5718553041
470	0.5717901198
471	0.5717314803
472	0.5716844485
473	0.5716480844
474	0.5715950809
475	0.5715576445
476	0.5715201864
477	0.5714513196
478	0.5714128365
479	0.5713662796
480	0.5713151212
481	0.5712494968
482	0.5711814773
483	0.5711345573
484	0.5711140438
485	0.5710620992
486	0.571029905
487	0.5709580471
488	0.5708914275
489	0.5708391694
490	0.5707912811
491	0.5707397026
492	0.5706614121
493	0.5705938877
494	0.570539611
495	0.5704709105
496	0.5704022973
497	0.5703475572
498	0.57030016
499	0.5702403111
500	0.5701805464
501	0.5701426751
502	0.5700734455
503	0.570012766
504	0.5699603657
505	0.5699054825
506	0.5698681828
507	0.5697955451
508	0.5697423362
509	0.5696869185
510	0.5696359837
511	0.5695668143
512	0.5695052445
513	0.5694467642
514	0.5693949824
515	0.5693461613
516	0.5692902681
517	0.5692209892
518	0.5691657506
519	0.5691137652
520	0.5690601868
521	0.5689908839
522	0.5689460929
523	0.5688873581
524	0.5688554637
525	0.5688083538
